baseMean log2FoldChange lfcSE pvalue padj
GPX2 1267.02461111151 2.3992761017672 0.282320197220324 9.61310452727709e-19 1.92031376036887e-14
AKR1B10 3096.70799190616 6.47462077697706 0.801777934773862 3.14457145147004e-17 3.14079796572827e-13
LOC124909347 76.5000084128998 -1.5265724688584 0.220210281280455 2.70610027125255e-13 1.8019019672847e-09
PROZ 688.941479388712 -1.57486117745437 0.23989691469017 3.10477467480554e-12 1.55052447259789e-08
LINC01322 49.9262281053435 -5.50799579022089 0.847275886485778 5.38917030188895e-12 1.67955670978679e-08
LPL 94.687124510072 3.42570882150467 0.530920170799887 5.39242701513203e-12 1.67955670978679e-08
LOC107984732 45.8839524661625 -2.8091620110245 0.437028419292257 5.88551109757085e-12 1.67955670978679e-08
ALDH18A1 713.76564936152 1.02063927137211 0.159299141196018 1.30563285232944e-11 3.2601652322666e-08
LINC02640 60.8825650714743 -2.32466803681043 0.374316088059976 2.7746149004341e-11 6.15841191678574e-08
LOC124902366 213.405762550926 -2.70255972601285 0.438454701622588 3.26031396156761e-11 6.42537415323218e-08
ZNF266 489.823317389555 -1.10042626534433 0.17802590457437 5.04782580799935e-11 8.40294736171625e-08
TMEM144 140.944967594248 1.511486636853 0.254192022155862 1.74715955013432e-10 2.49294708382022e-07
TRIM9 187.704163925355 4.21327398247936 0.718752353737202 2.06003050905185e-10 2.74341129658798e-07
ALDH3A1 60.2764962416453 3.13394542038307 0.541531972372627 3.89388772314643e-10 4.86151882234831e-07
LOC124909419 52.1554318741956 -2.03451800607256 0.353092218804568 4.32330927368531e-10 5.08014270889045e-07
LOC102723724 68.3328010876116 1.8888693776343 0.32784090108131 4.79715391215287e-10 5.32377480828698e-07
CCL20 42.9700720746921 5.02476459633382 0.868954991036564 5.74356628235994e-10 6.03860421349591e-07
LOC100533853 52.9201353797739 -2.3376089470637 0.416088902104327 9.30078553300433e-10 8.84726151463308e-07
LOXL4 350.161973832502 3.34439755359946 0.605695655783917 1.5156611134228e-09 1.31638462616234e-06
ZNF594 296.850717462867 -1.09343290499399 0.195847854341218 1.86442536845925e-09 1.55182338168091e-06
EEF1A2 90.12033433 5.03618337124169 0.925488674121384 2.76095839246486e-09 2.20611619391512e-06
CMYA5 888.273599333825 -1.85766460526875 0.345309039211745 3.83169146080177e-09 2.83488402299911e-06
LOC102723566 99.0698809352563 -1.49025711118096 0.275863131302959 4.07408503140154e-09 2.90656866383133e-06
LOC105374009 36.6525006746664 -2.33882772692045 0.441108939576056 6.10078582817687e-09 4.20238957598832e-06
LOC105369477 534.774681573047 -1.2597975641861 0.245250237387119 1.8433983816462e-08 1.15074143974264e-05
TGFBI 3725.37740931858 1.04585317731756 0.203100498044491 2.1444589679115e-08 1.29811249524243e-05
LIVAR 36.1337951548887 2.52187954907715 0.498026898216049 2.58172163798501e-08 1.51683739530555e-05
AOC4P 93.7437989290527 -1.36536585445971 0.269770506913639 2.66162129750394e-08 1.51910134396968e-05
ID1 518.701466015794 1.39837853255833 0.277083143343743 2.80865101306948e-08 1.55848923991878e-05
LOC105369250 166.41659247014 -1.63954237208863 0.32884870468917 3.31512616614131e-08 1.69607987194475e-05
TNFRSF12A 118.383506394536 3.38458903979288 0.684185245103195 3.39623522616089e-08 1.69607987194475e-05
DCDC1 669.863502492072 -1.3530293139722 0.271084609954093 3.68681270153615e-08 1.79576981697873e-05
SIRPB2 89.1519828798502 1.83577805747126 0.369694132739013 3.77564739252636e-08 1.79576981697873e-05
PARVB 248.613038274606 1.08895633920173 0.216599840959397 3.94768250243427e-08 1.83392803880528e-05
BCAT1 248.109065447597 2.19963552263608 0.446873351704958 4.04221694069931e-08 1.83516649107749e-05
LOC101928961 189.19713377209 -3.00767562555186 0.619676672065093 4.80653113522343e-08 2.13367257682718e-05
LOC124907884 61.5622670207787 -1.74327418485761 0.358123425740129 5.86688691878357e-08 2.54775941499175e-05
GOLM1 559.536759705445 2.28568543365384 0.472298637082687 6.353317563045e-08 2.70029514126355e-05
LOC107984694 71.1060448435162 -1.2170366763864 0.248582721482994 6.66363932504353e-08 2.77318456577228e-05
LOC124903387 179.922252648197 -2.67441237167036 0.557386545528791 6.95544838981325e-08 2.83555177622264e-05
LOC112268450 114.83837080248 -1.6982029391804 0.354047190184314 8.36453143486453e-08 3.34179759885708e-05
NINJ2 80.6019039110095 1.49638303938856 0.314504101552489 1.13170381762973e-07 4.3474837424945e-05
AKR1B15 25.3899355524384 6.78701297023346 1.59868728485897 1.18573497858693e-07 4.46910225136839e-05
LRIG3.DT 66.6145250235842 -1.43251947282028 0.302349556076831 1.29853061499506e-07 4.71626319366207e-05
VIL1 554.336162837556 -2.32044256042658 0.50009211302796 1.54464987335165e-07 5.31998721897802e-05
CDKN1A 910.023530784361 1.41686471375962 0.302336122528813 1.53491095799493e-07 5.31998721897802e-05
CUTALP 478.833587060312 -1.1746819439159 0.25110030191851 1.98161024219065e-07 6.70926206745772e-05
FAM9B 46.6271578853907 -2.28047002380595 0.499506348379494 2.22885053042676e-07 7.42058636596748e-05
MANF 428.499750973232 1.24659837272387 0.268859787110587 2.3436866045116e-07 7.67499731339734e-05
CROCCP2 59.0009739395624 -1.27280378369406 0.275440736296149 2.38453923062724e-07 7.6828315598403e-05
GPR88 202.774442474161 -2.97872290561964 0.657825527243768 2.42677254163653e-07 7.69479496694147e-05
CGREF1 60.2688445273419 2.29622458923292 0.506508299142923 2.79381727664623e-07 8.45595362398258e-05
RASEF 155.919813812647 2.26630633325615 0.500425980848199 2.78291648362664e-07 8.45595362398258e-05
WNT4 35.6410826715547 2.79338285541744 0.615176657848618 2.98956720921602e-07 8.91337232407451e-05
LOC105374535 54.8594432138515 -1.10471837008231 0.240646024423274 3.37917585039225e-07 9.80800344216531e-05
BRPF3.AS1 43.8757057388684 -1.61569702522993 0.357182580439833 3.38782657944236e-07 9.80800344216531e-05
PLBD1 184.396680171161 1.09327734983047 0.240170435484089 4.06425206097985e-07 0.000115982141671619
ZNF285 37.7150190804639 -1.37726096728994 0.306798967969579 4.32370279594201e-07 0.000121648291622166
PACSIN3 255.218271052077 -1.61506855742598 0.363696661617955 4.63273707231559e-07 0.000128532716328578
CD52 135.467625431286 1.88309246946404 0.425355073301274 4.90498386495134e-07 0.000134221859844203
HSPA5 3984.43187545111 1.06946434010209 0.237084315802323 5.11236915350195e-07 0.000138006332716696
SPON2 406.127657021155 1.16386452908273 0.26014972452965 5.4070710557071e-07 0.000139166229523956
LINC02827 39.7581240421306 -3.78128444871234 0.864660270159983 5.42954105641124e-07 0.000139166229523956
SCPEP1 487.731584766554 1.00286218686271 0.222212650436064 5.2911662394077e-07 0.000139166229523956
LINC00939 148.873070307077 -1.37023960960687 0.310648097689733 5.97889740972751e-07 0.000151182853995844
CCDC38 40.0631037473954 -1.62897069583334 0.371220053660451 6.10110214870961e-07 0.000152344520653279
MAP2K6 1072.07842219092 -1.1572329491843 0.262867125443056 7.28757356140535e-07 0.000179724159830411
BAG3 146.503046605573 1.10766840311282 0.250923303430054 7.47862965785162e-07 0.000182186714689322
CFAP298.TCP10L 98.5876903244218 -1.30656951725174 0.30050675868527 8.58425853801406e-07 0.000206601383801649
RAB7B 41.191040910005 2.13488732127756 0.50052260083556 1.00606221037622e-06 0.000235373754862655
CD83 109.298916186067 1.21699247939126 0.281140565635917 1.02403520921797e-06 0.000235373754862655
LOC124903251 83.5321666506605 -1.32158395562908 0.307717538971997 1.02510596080552e-06 0.000235373754862655
TTYH3 312.472405205574 1.56493359819647 0.366667375780062 1.08211332493168e-06 0.000245639724759492
PDZK1IP1 92.9391822139923 4.19168518205673 1.00487692694901 1.10605435530346e-06 0.000246687200685088
AMDHD1 2148.21255277673 -1.08181188368621 0.250228351629418 1.1114261144202e-06 0.000246687200685088
LOC107986365 33.935274507594 -1.45200475084278 0.339450703124234 1.17415570042327e-06 0.00025774653045775
C1QTNF1 499.805151960684 1.07613049538994 0.250419152307345 1.29577533597473e-06 0.000278326968940121
PDCL3P4 39.47345173713 -1.3252789749965 0.311924352617618 1.33637612626686e-06 0.000283653365508948
OASL 154.914022158486 1.39433625360101 0.329242688492496 1.34897225287095e-06 0.000283653365508948
MGC27382 98.9896866826078 -1.49953882449595 0.356845595332309 1.39747247321512e-06 0.00029079073046818
ADAMTS6 47.9767029215875 1.10884925871956 0.258916902450822 1.43214589547884e-06 0.000294933468124591
KDELR3 318.583019766334 1.57606932719791 0.377358805084624 1.550048003443e-06 0.000314780032382154
SLC22A12 8.81629798537066 5.25716552840629 1.40908720336465 1.72267549678409e-06 0.000344121657237591
LOC105374187 581.043563943758 -1.19311859010123 0.284671700487076 1.79369080543526e-06 0.000353135052742252
SERTAD1 82.7738102212429 1.08733711095819 0.25745145205697 1.80315255204794e-06 0.000353135052742252
LOC124901123 6.11144495760587 6.48893720127453 2.58300837663507 1.99754549669288e-06 0.000372118326395004
TMEM178B 23.5410619353879 3.11946425152289 0.75731251151749 1.95802114433664e-06 0.000372118326395004
LOC124902275 56.868258417952 -1.4139971211465 0.341877076732556 2.01185318635665e-06 0.000372118326395004
IAPP 21.3154746398503 -2.08694788200305 0.510181209032321 1.99861442772083e-06 0.000372118326395004
LOC100133007 16.029257858386 -2.57641997894026 0.630143685667806 2.07850151370959e-06 0.000380918772824429
RAD51AP2 242.899291900622 -1.26449978695416 0.305463102354734 2.15049887733081e-06 0.000390530596123275
IL32 1359.80612987183 1.84339237743052 0.451587070620175 2.18635499835046e-06 0.000393465112135574
MSR1 859.914174888735 1.41032365549022 0.343295490596172 2.35953866039726e-06 0.000420840573929426
LYZ 1974.56144329504 1.900934820217 0.468458586322029 2.50434125465696e-06 0.000438830885114276
KNDC1 49.7093381076794 1.50246465933086 0.367237272844385 2.53120347396657e-06 0.000439681048660489
XKR4 13.4520230235015 -4.38072081210724 1.05586019106407 2.65115397479722e-06 0.000447045311658566
FABP5 30.9511855324465 2.51002658073533 0.624405873978403 2.6631153427798e-06 0.000447045311658566
LINC01094 36.6751423660067 2.90186600409975 0.723492890184334 2.72751562208684e-06 0.000454040433890055
LOC124900745 120.515835173028 -2.18692170529771 0.548226374078812 2.75273911406924e-06 0.000454452202831794
ZNF648 75.974587668593 -1.52535965454307 0.378274014514939 2.87050098588109e-06 0.00047000924339312
LINC01725 153.386184081013 -1.4170872242265 0.35102075540875 2.94645040918497e-06 0.000473207220768921
LOC124901970 69.3380168176555 -1.23073105334021 0.303085609757594 2.99009210546164e-06 0.000474048253164299
DNAJC6 57.1001169102247 2.35036835647202 0.591032767045381 3.10934904271536e-06 0.000485620894050921
SEMA6C 150.237458174253 -1.13730354353405 0.280100867316769 3.32160975253948e-06 0.000510729366959185
LOC105377576 132.096641651281 -1.36030374733026 0.338611732939617 3.32372936046727e-06 0.000510729366959185
MOXD1 270.642261270625 3.52340311991666 0.90946072654222 3.8429044065207e-06 0.000577186905448553
KRT18 3617.75966939508 1.11578909818378 0.277077103448496 3.94336640137746e-06 0.000587855874879972
LOC124900386 26.3970276286043 -1.45979310678292 0.367476947535434 4.00293253559522e-06 0.000587960149493016
SRXN1 503.960849344302 1.4922675907785 0.376229344933078 3.9953204994375e-06 0.000587960149493016
LOC105373594 5.12749100053873 6.15636615469692 2.53510008246392 4.06672543294135e-06 0.000592970125900996
TREM2 83.8878679648187 2.87565723497042 0.74016337179483 4.09944135565635e-06 0.000593408989279647
SPNS2 189.283483141697 1.13925536026774 0.284040642381916 4.14213682659817e-06 0.000595275721209532
C17orf67 134.649742376266 -1.08898479441286 0.271459381431157 4.22393569064588e-06 0.000602695281116729
LOC105376861 14.6569722571829 -2.47798625388799 0.628529532763615 4.30860007226396e-06 0.000607349075307979
ENG 1214.93622445697 1.24101068846578 0.31167719109381 4.31735926580562e-06 0.000607349075307979
